year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,5,CO,RNCGO05,UGOANS18,580,0,16.22,1536,24.46,,,,1536,56.86,,,
2017,5,NE,RNCAL01,NS01ALSMM05,,0,0,,,,,,,,,,
2017,5,CO,RNCDF03,UDFGMA10,900,0,8.34,2304,12.44,,,,1536,47.28,,,
2017,5,BASE,RNCBA04,UBACJAR1,60,0,3.36,384,2.02,,,,384,7.9,,,
2017,5,MG,RNCMG02,NS01MGCFB04,,0,0,,,,,,,,,,
2017,5,NE,RNCPE04,UPEIPS05,100,0,16.59,768,9.19,,,,576,29.59,,,
2017,5,PRSC,RNCPR03,UPRFOS01,900,0,0.16,2304,0.29,,,,,,,,
2017,5,PRSC,RNCPR02,NS01PRAUC07,,0,0,,,,,,,,,,
2017,5,NE,RNCCE02,UCECVL01,170,0,14.79,1536,9.72,,,,1536,34.19,,,
2017,5,NE,RNCPE04,KPECGBI1,1360,0,0,4224,0,,,,2944,0,,,
2017,5,BASE,RNCBA01,NS01BAMCU03,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR05,UPRCSC20,100,0,4.19,768,2.51,,,,576,11.16,,,
2017,5,CO,RNCDF04,UDFSQSIK,170,0,0.88,1536,0.67,,,,1536,2.19,,,
2017,5,MG,RNCMG02,NS01MGCFB06,,0,0,,,,,,,,,,
2017,5,ES,RNCES01,NS01ESLIN12,,0,0,,,,,,,,,,
2017,5,CO,RNCMS03,UMSCPE0D,580,0,9.82,1536,14.06,,,,1536,42.6,,,
2017,5,BASE,RNCBA05,NS01BAPGR08,,0,0,,,,,,,,,,
2017,5,CO,RNCMS03,UMSCPEA7,900,0,2.16,2304,3.41,,,,1536,16.57,,,
