baseline_date,datetime,id,get_enodeb_name,element_id,mo,parameter,baseline,configured,mml,golden,status
2017-11-23,2017-11-22 21:39:33,enodeb_baseline,EPEEPH05,S01PEEPH05,ANR,ACTIVEPCICONFLICTSWITCH,OFF,ON,"MOD ANR:LOCALCELLID=S01PEEPH05,ACTIVEPCICONFLICTSWITCH=OFF;{S01PEEPH05}",f,NOK
2017-11-23,2017-11-22 21:51:20,enodeb_baseline,EPEIPS33,S01PEIPS33,ANR,ACTIVEPCICONFLICTSWITCH,OFF,ON,"MOD ANR:LOCALCELLID=S01PEIPS33,ACTIVEPCICONFLICTSWITCH=OFF;{S01PEIPS33}",f,NOK
2017-11-23,2017-11-22 21:51:20,enodeb_baseline,EPEJBO40,S01PEJBO40,ANR,ACTIVEPCICONFLICTSWITCH,OFF,ON,"MOD ANR:LOCALCELLID=S01PEJBO40,ACTIVEPCICONFLICTSWITCH=OFF;{S01PEJBO40}",f,NOK
2017-11-23,2017-11-22 22:10:55,enodeb_baseline,ERNPTG02,S01RNPTG02,ANR,ACTIVEPCICONFLICTSWITCH,OFF,ON,"MOD ANR:LOCALCELLID=S01RNPTG02,ACTIVEPCICONFLICTSWITCH=OFF;{S01RNPTG02}",f,NOK
2017-11-23,2017-11-22 22:01:29,enodeb_baseline,EDF0009S,0,CELL,EUCELLSTANDBYMODE,ACTIVE,,"MOD CELL:LOCALCELLID=0,EUCELLSTANDBYMODE=ACTIVE;{EDF0009S}",f,NOK
2017-11-23,2017-11-22 21:57:46,enodeb_baseline,EGO0014S,0,CELL,EUCELLSTANDBYMODE,ACTIVE,,"MOD CELL:LOCALCELLID=0,EUCELLSTANDBYMODE=ACTIVE;{EGO0014S}",f,NOK
2017-11-23,2017-11-22 21:57:46,enodeb_baseline,EMS0002S,0,CELL,EUCELLSTANDBYMODE,ACTIVE,,"MOD CELL:LOCALCELLID=0,EUCELLSTANDBYMODE=ACTIVE;{EMS0002S}",f,NOK
2017-11-23,2017-11-22 21:04:32,enodeb_baseline,FRNLNVI3,2,CELL,EUCELLSTANDBYMODE,ACTIVE,,"MOD CELL:LOCALCELLID=2,EUCELLSTANDBYMODE=ACTIVE;{FRNLNVI3}",f,NOK
2017-11-23,2017-11-22 21:04:32,enodeb_baseline,FRNLNVI3,1,CELL,EUCELLSTANDBYMODE,ACTIVE,,"MOD CELL:LOCALCELLID=1,EUCELLSTANDBYMODE=ACTIVE;{FRNLNVI3}",f,NOK
2017-11-23,2017-11-22 21:04:32,enodeb_baseline,FRNLNVI3,0,CELL,EUCELLSTANDBYMODE,ACTIVE,,"MOD CELL:LOCALCELLID=0,EUCELLSTANDBYMODE=ACTIVE;{FRNLNVI3}",f,NOK
2017-11-23,2017-11-21 22:02:04,enodeb_baseline,ESMSAM94,0,CELLALGOSWITCH,CqiAdjAlgoSwitch,AdaptiveStepVarySwitch-1,ADAPTIVESTEPVARYSWITCH-0&BUNDLINGOPTTHDSWITCH-0&CFICONVERTOPTSWITCH-0&CFICONVERTWIDRSSWITCH-0&CQIADJALGOSWITCH-1&CQIADJTIMEEFFSWITCH-0&CQIFASTCOMPSTSWITCH-0&CQIFLTOPTSWITCH-0&DLCQIADJDELTAOPTSWITCH-0&DLENVARIBLERTARGETSWITCH-0&DLRETXTBSINDEXADJOPTSWITCH-1&DLSPSMCSINCREASESWITCH-0&DLVARIBLERTARGETSWITCH-0&IBLERCQIOFFSETSWITCH-0&PILOTOFFCQIADJOPTSWITCH-0&PRECISEMCSADAPTSWITCH-0&RPTCQIFLTINITSWITCH-0&STEPVARYSWITCH-0&TDDBUNDLINGCQIADJOPTSWITCH-0&TDDMULTIPLEXINGCQIADJOPTSWITCH-0&UESIGINITCQIMODSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=0,CqiAdjAlgoSwitch=AdaptiveStepVarySwitch-1;{IMP_ES01SMSAM94}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,4,CELLALGOSWITCH,CqiAdjAlgoSwitch,AdaptiveStepVarySwitch-1,ADAPTIVESTEPVARYSWITCH-0&BUNDLINGOPTTHDSWITCH-0&CFICONVERTOPTSWITCH-0&CQIADJALGOSWITCH-1&DLCQIADJDELTAOPTSWITCH-0&DLENVARIBLERTARGETSWITCH-0&DLRETXTBSINDEXADJOPTSWITCH-0&DLVARIBLERTARGETSWITCH-0&STEPVARYSWITCH-0&TDDBUNDLINGCQIADJOPTSWITCH-0&TDDMULTIPLEXINGCQIADJOPTSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=4,CqiAdjAlgoSwitch=AdaptiveStepVarySwitch-1;{S01BAFSA35}",f,NOK
