baseline_date,datetime,id,node,element_id,mo,parameter,baseline,configured,mml,golden,status
2017-11-22,2017-11-22 07:00:32,baseline,RNCMG06,RNCMG06,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=3,SN=16,BT=FG2c,LPNTYPE=Leaf,LPN=120,BWADJ=OFF,CIR=1562;{RNCMG06}",f,NOK
2017-11-22,2017-11-22 04:00:09,baseline,RNCAC01,RNCAC01,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=1,SN=22,BT=FG2c,LPNTYPE=Leaf,LPN=15,BWADJ=OFF,CIR=1562;{RNCAC01}",f,NOK
2017-11-22,2017-11-22 08:00:53,baseline,RNCMG02,RNCMG02,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=5,SN=18,BT=FG2c,LPNTYPE=Leaf,LPN=90,BWADJ=OFF,CIR=1562;{RNCMG02}",f,NOK
2017-11-22,2017-11-22 07:00:27,baseline,RNCMG07,RNCMG07,IPLOGICPORT,CIR,1000-FG2a,719,"MOD IPLOGICPORT:SRN=0,SN=16,BT=FG2a,LPN=72,BWADJ=OFF,CIR=1000;{RNCMG07}",f,NOK
2017-11-22,2017-11-22 07:00:27,baseline,RNCMG07,RNCMG07,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=1,SN=18,BT=FG2c,LPNTYPE=Leaf,LPN=4,BWADJ=OFF,CIR=1562;{RNCMG07}",f,NOK
2017-11-22,2017-11-22 06:30:06,baseline,RNCMG04,RNCMG04,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=2,SN=18,BT=FG2c,LPNTYPE=Leaf,LPN=40,BWADJ=OFF,CIR=1562;{RNCMG04}",f,NOK
2017-11-22,2017-11-22 06:30:06,baseline,RNCMG04,RNCMG04,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=2,SN=18,BT=FG2c,LPNTYPE=Leaf,LPN=42,BWADJ=OFF,CIR=1562;{RNCMG04}",f,NOK
2017-11-22,2017-11-22 06:30:06,baseline,RNCMG04,RNCMG04,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=2,SN=18,BT=FG2c,LPNTYPE=Leaf,LPN=41,BWADJ=OFF,CIR=1562;{RNCMG04}",f,NOK
2017-11-22,2017-11-22 06:30:06,baseline,RNCMG01,RNCMG01,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=4,SN=18,BT=FG2c,LPNTYPE=Leaf,LPN=25,BWADJ=OFF,CIR=1562;{RNCMG01}",f,NOK
2017-11-22,2017-11-22 07:00:09,baseline,RNCPR01,RNCPR01,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=3,SN=24,BT=FG2c,LPNTYPE=Leaf,LPN=26,BWADJ=OFF,CIR=1562;{RNCPR01}",f,NOK
2017-11-22,2017-11-22 06:30:06,baseline,RNCMG03,RNCMG03,IPLOGICPORT,CIR,1562-FG2c,719,"MOD IPLOGICPORT:SRN=1,SN=18,BT=FG2c,LPNTYPE=Leaf,LPN=161,BWADJ=OFF,CIR=1562;{RNCMG03}",f,NOK
2017-11-22,2017-11-22 06:00:10,baseline,RNCBA05,RNCBA05,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCBA05},f,NOK
2017-11-22,2017-11-22 06:30:06,baseline,RNCMG08,RNCMG08,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCMG08},f,NOK
2017-11-22,2017-11-22 07:00:09,baseline,RNCPR06,RNCPR06,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCPR06},f,NOK
2017-11-22,2017-11-22 06:00:09,baseline,RNCTO02,RNCTO02,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCTO02},f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,RNCMS03,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCMS03},f,NOK
2017-11-22,2017-11-22 07:00:09,baseline,RNCGO05,RNCGO05,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCGO05},f,NOK
2017-11-22,2017-11-22 06:00:03,baseline,RNCCE02,RNCCE02,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCCE02},f,NOK
2017-11-22,2017-11-22 07:01:36,baseline,RNCMT02,RNCMT02,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCMT02},f,NOK
2017-11-22,2017-11-22 07:00:09,baseline,RNCGO04,RNCGO04,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCGO04},f,NOK
2017-11-22,2017-11-22 06:00:02,baseline,RNCPI02,RNCPI02,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCPI02},f,NOK
2017-11-22,2017-11-22 06:00:28,baseline,RNCPE04,RNCPE04,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCPE04},f,NOK
2017-11-22,2017-11-22 07:00:09,baseline,RNCDF05,RNCDF05,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCDF05},f,NOK
2017-11-22,2017-11-22 07:00:09,baseline,RNCDF04,RNCDF04,TNSOFTPARA,INTBRDESTTHRD,800,,SET TNSOFTPARA:INTBRDESTTHRD=800;{RNCDF04},f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61959,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61959,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61960,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61960,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61952,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61952,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61953,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61953,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61954,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61954,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61956,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61956,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61958,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61958,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61962,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61962,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61963,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61963,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61964,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61964,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61965,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61965,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61966,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61966,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61970,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61970,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61971,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61971,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61972,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61972,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61976,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61976,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61977,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61977,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61978,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61978,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61979,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61979,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61980,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61980,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61981,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61981,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62462,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62462,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62463,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62463,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62464,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62464,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62450,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62450,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62451,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62451,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62452,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62452,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62453,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62453,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62454,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62454,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62455,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62455,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62456,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62456,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62457,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62457,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62458,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62458,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62459,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62459,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62460,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62460,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62461,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62461,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62592,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62592,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62593,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62593,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62594,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62594,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62598,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62598,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62599,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62599,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62600,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62600,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,63510,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=63510,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
