year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,34,BASE,RNCBA01,NS01BABJL01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR02,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR03,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR04,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR05,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR06,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR08,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR09,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR13,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRR17,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRRR2,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BABRU01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BACAC01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BACAE01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAEUS18,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAEUS24,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAGNB02,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAGUA01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAIMJ01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAIMJ02,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAITL01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAITL02,,25.6,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAJUA02,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAJUA03,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAJUA04,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAJUA05,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAJUA06,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAJUA11,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAJUA12,,0.2,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BALED01,,0.8,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BALED02,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAMCU03,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAPGU03,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAPGU13,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAPOC01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BASHF01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BASNT01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BASNT03,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BATAF01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BATAF02,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BATAF03,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BATAF04,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,NS01BAUNA01,,0,0,,,,,,,,,,
2017,34,BASE,RNCBA01,UBAALC02,,0,0,1536,0.47,,,,1280,1.14,,,
2017,34,BASE,RNCBA01,UBAALM01,,0,0,1536,3.74,,,,1024,10.04,,,
2017,34,BASE,RNCBA01,UBAATW01,,0.2,0,1536,5.07,,,,1024,13.03,,,
2017,34,BASE,RNCBA01,UBABAA01,,0,0,2304,0.91,,,,1536,2.65,,,
2017,34,BASE,RNCBA01,UBABAV01,,0,0,2304,1.66,,,,1536,5.13,,,
2017,34,BASE,RNCBA01,UBABJL01,,,,2176,0.87,,,,2176,4.06,,,
2017,34,BASE,RNCBA01,UBABLM01,,0,0,1536,1.47,,,,1024,4.59,,,
2017,34,BASE,RNCBA01,UBABLP02,,0,0,1536,0.51,,,,1536,2.79,,,
2017,34,BASE,RNCBA01,UBABPO01,,0,0,1536,5.56,,,,1024,16.34,,,
2017,34,BASE,RNCBA01,UBABRR01,,,,3200,1.93,,,,3200,3.68,,,
2017,34,BASE,RNCBA01,UBABRR02,,,,3200,1.43,,,,3200,2.67,,,
2017,34,BASE,RNCBA01,UBABRR03,,,,3200,1.53,,,,3200,3.01,,,
2017,34,BASE,RNCBA01,UBABRR04,,,,3200,0.7,,,,3200,1.4,,,
2017,34,BASE,RNCBA01,UBABRR05,,,,3200,1.38,,,,3200,2.69,,,
2017,34,BASE,RNCBA01,UBABRR06,,,,1536,2.66,,,,1536,10.48,,,
2017,34,BASE,RNCBA01,UBABRR08,,,,1536,2.01,,,,1536,9.04,,,
2017,34,BASE,RNCBA01,UBABRR09,,,,3328,2.09,,,,2560,5.18,,,
2017,34,BASE,RNCBA01,UBABRR13,,,,384,2.92,,,,384,14.31,,,
2017,34,BASE,RNCBA01,UBABRR16,,0,0,2304,2.74,,,,1536,7.86,,,
2017,34,BASE,RNCBA01,UBABRR17,,,,3328,2.16,,,,2560,5.54,,,
2017,34,BASE,RNCBA01,UBABRRR2,,,,1024,1.82,,,,1024,3.63,,,
2017,34,BASE,RNCBA01,UBABRU01,,,,2176,0.91,,,,2176,4,,,
2017,34,BASE,RNCBA01,UBACAC01,,,,2560,3.95,,,,2304,13.1,,,
2017,34,BASE,RNCBA01,UBACAE01,,,,2176,0.55,,,,2176,2.18,,,
2017,34,BASE,RNCBA01,UBACCE01,,0,0,1536,4.96,,,,1536,15.15,,,
2017,34,BASE,RNCBA01,UBACCE04,,0,0,2304,3.52,,,,1536,9.38,,,
2017,34,BASE,RNCBA01,UBACIN01,,0,0,1536,0.44,,,,1024,1.33,,,
2017,34,BASE,RNCBA01,UBACOA02,,0,0,1536,5.85,,,,1536,23.75,,,
2017,34,BASE,RNCBA01,UBACRV01,,0,0,2304,0.21,,,,1536,0.57,,,
2017,34,BASE,RNCBA01,UBACSN01,,0,0,2304,1.57,,,,1536,4.78,,,
2017,34,BASE,RNCBA01,UBACVS01,,,,,,,,,2048,0,,,
2017,34,BASE,RNCBA01,UBAEUS02,,0,0,3072,3.93,,,,2560,8.83,,,
2017,34,BASE,RNCBA01,UBAEUS03,,0,0,1536,9.99,,,,1024,28.09,,,
2017,34,BASE,RNCBA01,UBAEUS04,,0,0,1536,7.03,,,,1536,25.14,,,
2017,34,BASE,RNCBA01,UBAEUS05,,0,0,1536,1.93,,,,1536,10.13,,,
2017,34,BASE,RNCBA01,UBAEUS06,,0,0,1536,0.94,,,,1536,4.72,,,
2017,34,BASE,RNCBA01,UBAEUS07,,0,0,2304,6.69,,,,1792,16.68,,,
2017,34,BASE,RNCBA01,UBAEUS08,,0,0,1536,6.1,,,,1536,21.91,,,
2017,34,BASE,RNCBA01,UBAEUS09,,0,0,1152,12.01,,,,1152,42.44,,,
2017,34,BASE,RNCBA01,UBAEUS10,,0,0,1024,7.62,,,,1024,14.64,,,
2017,34,BASE,RNCBA01,UBAEUS11,,0,0,1536,6.08,,,,1536,20.81,,,
2017,34,BASE,RNCBA01,UBAEUS12,,0,0,1536,5.67,,,,1536,20.96,,,
2017,34,BASE,RNCBA01,UBAEUS15,,0,0,2304,4.52,,,,1536,12.21,,,
2017,34,BASE,RNCBA01,UBAEUS18,,,,3328,3.28,,,,2560,8.41,,,
2017,34,BASE,RNCBA01,UBAEUS19,,0,0,1024,16.05,,,,1024,26.88,,,
2017,34,BASE,RNCBA01,UBAEUS24,,,,2048,2.42,,,,2048,4.4,,,
2017,34,BASE,RNCBA01,UBAEUS25,,0,0,1536,5.68,,,,1536,19.98,,,
2017,34,BASE,RNCBA01,UBAFAL01,,0,0,1536,5.09,,,,1024,13.14,,,
2017,34,BASE,RNCBA01,UBAGNB02,,,,2560,0.78,,,,2560,3.43,,,
2017,34,BASE,RNCBA01,UBAGRT02,,0,0,2304,2.75,,,,1536,7.59,,,
2017,34,BASE,RNCBA01,UBAGUA01,,,,2560,2.47,,,,2560,10.46,,,
2017,34,BASE,RNCBA01,UBAIBC01,,0,0,2304,3.95,,,,1536,11.34,,,
2017,34,BASE,RNCBA01,UBAIBE01,,0.2,0,2304,1.01,,,,1536,3.03,,,
2017,34,BASE,RNCBA01,UBAIBI01,,0,0,2176,7.19,,,,2176,29.22,,,
2017,34,BASE,RNCBA01,UBAIBI02,,0,0,1536,2.74,,,,1536,11.01,,,
2017,34,BASE,RNCBA01,UBAIBU01,,0,0,512,9.74,,,,384,56.01,,,
2017,34,BASE,RNCBA01,UBAIBU02,,0,0,256,19.3,,,,192,63.81,,,
2017,34,BASE,RNCBA01,UBAIBU03,,0,0,256,12.48,,,,192,81.97,,,
2017,34,BASE,RNCBA01,UBAIBU04,,10.8,0,512,18.43,,,,384,75.07,,,
2017,34,BASE,RNCBA01,UBAIBU05,,0,0,1536,4.95,,,,1536,18.41,,,
