"week";"cellname";"REGIONAL";"count";"covered_sites"
6;"UCEHZT04O";"NE";2;"UCEPJS13,UCEPJSR2"
6;"USCCUA14F";"PRSC";1;"USCCUA03"
12;"UACRBO20M";"CO";2;"UACRBO04,UACRBO16"
13;"UESCIT10J";"ES";1;"UESCIT01"
11;"WESVIT16K";"ES";1;"UESVIT36"
13;"UPRPNS06E";"PRSC";4;"UPRCBX02,UPRCBX07,UPRPNS01,UPRPNS05"
10;"UPITER75O";"NE";1;"UPITER20"
13;"UPECRU42B";"NE";6;"UPECRU02,UPECRU07,UPECRU15,UPECRU19,UPECRU38,UPECRU39"
13;"UPBVAR15B";"NE";2;"UPBVAR05,WPBVAR05"
12;"USCBNU27A";"PRSC";2;"USCBNU11,USCBNUI8"
11;"UDFSQSA6K";"CO";2;"UDFGMA04,UDFGMA19"
6;"UPEGUS02A";"NE";1;"UPEGUS03"
14;"UMGLGS022";"MG";1;"UMGCONR2"
12;"UMTAFL01F";"CO";1;"UMTAFL03"
9;"UPRLDA23R";"PRSC";3;"UPRLDA10,UPRLDA32,UPRLDA37"
11;"UPEIMC01C";"NE";2;"UPEITS02,UPEITS03"
14;"UGOACG30F";"CO";1;"UGOACG04"
10;"UMGBEL06J";"MG";2;"UMGBEL18,UMGBEL28"
8;"UMGDCA27J";"MG";2;"UMGBRT06,UMGBRT24"
12;"UPIPCZ05A";"NE";2;"UPIPCZ02,UPIPCZ03"
8;"UALUPS02I";"NE";3;"UALUPS01,UALUPS03,UALUPS12"
11;"UPEOUI02C";"NE";1;"UPEOUI03"
14;"UGOLZA26K";"CO";3;"UGOLZA02,UGOLZA11,UGOLZA14"
10;"UTOARN12A";"CO";1;"UTOARN18"
9;"UMGFTA29I";"MG";1;"UMGFTA12"
14;"UROPVO33F";"CO";3;"UROPVO22,UROPVO58,WROPVO22"
8;"UCEPIC02E";"NE";3;"UCEBAE05,UCEBAE08,UCEPIC08"
11;"UMGFTA051";"MG";4;"UMGFTA01,UMGFTA29,UMGFTAS2,UMGOUP18"
7;"UMGULA110";"MG";2;"UMGULA04,UMGULA27"
12;"USCTRO04J";"PRSC";1;"USCTROI1"
8;"UMGPTC04J";"MG";2;"UMGPTC01,UMGPTC05"
12;"UDFSQSD3A";"CO";2;"UDFSQS0C,UDFSQS17"
6;"UMGSLR021";"MG";2;"UMGSLR01,UMGSLR03"
7;"UDFSQS11F";"CO";1;"UDFSQSI2"
8;"UESVVE152";"ES";1;"UESVVE08"
13;"USCCCO08A";"PRSC";2;"USCCCO05,USCCCO06"
9;"UDFTAG42C";"CO";3;"UDFTAG28,UDFTAG38,WDFTAG28"
6;"USCRSL01J";"PRSC";2;"USCRSL04,USCRSL09"
6;"UMGDIV170";"MG";1;"UMGDIV22"
11;"UALAIR05K";"NE";2;"UALAIR01,UALAIR02"
11;"UESLIN013";"ES";2;"UESLIN12,WESLIN12"
7;"UMGFEA01K";"MG";1;"UMGFEA03"
12;"UGOACG21O";"CO";2;"UGOACG09,WGOACG09"
9;"UGOGNA49C";"CO";4;"UGOGNA19,UGOGNA50,UGOGNA69,UGOGNAI3"
14;"UESVVE262";"ES";5;"UESVVE04,UESVVE13,UESVVE23,UESVVE24,WESVVE04"
11;"URNPTB08A";"NE";2;"URNALC04,URNALC08"
10;"UESCAR11I";"ES";1;"UESCAR09"
8;"UPEABU02C";"NE";1;"UPEABU01"
9;"UDFGMA04C";"CO";2;"UDFTAG34,WDFTAG34"
11;"UMGULA272";"MG";2;"UMGULA01,UMGULA03"
13;"UPBCBD02A";"NE";1;"UPBCBD05"
7;"UBACAR36A";"BASE";2;"UBACAR29,UBACARR5"
8;"UMGULA092";"MG";2;"UMGULA08,UMGULA51"
6;"UGOANS22M";"CO";2;"UGOANS04,UGOANS25"
9;"UMGIPG042";"MG";1;"UMGIPG03"
10;"UGOACG36B";"CO";2;"UGOACG01,UGOACG24"
12;"UMGINH021";"MG";1;"UMGINH01"
8;"UCEBAE12C";"NE";1;"UCECUC08"
8;"UPITER36E";"NE";1;"UPITER55"
9;"UGOVPI14J";"CO";2;"UGOCDO02,UGOCDO03"
8;"UMGCONR21";"MG";3;"UMGLGS01,UMGLGS03,UMGLGS10"
9;"UALMHD01A";"NE";1;"UALMHD06"
10;"UMGCNO040";"MG";1;"UMGCNO05"
10;"UPEPTA06F";"NE";1;"UPEPTA03"
7;"UDFSOB28O";"CO";1;"UDFSOB50"
8;"UPITER11J";"NE";2;"UPITER48,UPITER84"
9;"UBACAB24E";"BASE";1;"UBACAJ08"
8;"UESGUP07N";"ES";3;"UESGUP01,UESGUP10,UESGUP11"
12;"UESCAR122";"ES";4;"UESSOLR1,UESVVE06,UESVVE08,UESVVE17"
9;"UDFSQN56F";"CO";16;"UDFSQN07,UDFSQN0A,UDFSQN0S,UDFSQN15,UDFSQN18,UDFSQN26,UDFSQN27,UDFSQN32,UDFSQN58,UDFSQN70,UDFSQN71,UDFSQN94,UDFSQN95,UDFSQN97,UDFSQS52,WDFSQN15"
6;"UGOGNA78B";"CO";3;"UGOACG03,UGOACG20,UGOACG25"
6;"UMGOBR04N";"MG";1;"UMGOBR06"
10;"UMGCAE02I";"MG";1;"UMGCAE01"
6;"UMTCBA48F";"CO";2;"UMTCBA21,UMTCBA69"
8;"UPITER55G";"NE";10;"UPITER08,UPITER10,UPITER11,UPITER23,UPITER34,UPITER40,UPITER48,UPITER59,UPITER75,UPITER94"
9;"UTOTAQ06J";"CO";2;"UTOTAQ02,UTOTAQ12"
6;"UPITER67E";"NE";2;"UPITER39,UPITER45"
9;"UDFSQS17E";"CO";2;"UDFSQS0C,UDFSQS0M"
7;"UALSMM01M";"NE";1;"UALSMM04"
6;"UDFSOB07E";"CO";6;"UDFSOB01,UDFSOB25,UDFSOB36,UDFSOB51,WDFSOB25,WDFSOB36"
10;"UMGSLZ02K";"MG";2;"UMGSLZ01,UMGSLZ09"
7;"UPESZC06G";"NE";2;"UPESZC05,UPESZC12"
11;"UMGFRU05J";"MG";1;"UMGFRU01"
13;"UPEPUI15E";"NE";1;"UPEPUI02"
8;"UGOANS02N";"CO";1;"UGOANS20"
11;"UPRCPPR1A";"PRSC";1;"UPRCPP02"
10;"UROPVO19A";"CO";1;"UROPVO48"
12;"UMSCPEA6A";"CO";3;"UMSCPE37,UMSCPE63,WMSCPE37"
11;"UDFTAG55A";"CO";2;"UDFTAG20,UDFTAG23"
11;"UDFSQS0JK";"CO";1;"UDFSQS16"
12;"UMGARG04N";"MG";1;"UMGARG03"
6;"URNMCI10B";"NE";1;"URNMCI01"
7;"UBAFSA09B";"BASE";3;"UBAFSA15,UBAFSA31,UBAFSA44"
9;"UGOGNA1LB";"CO";8;"UGOGNA0C,UGOGNA2Y,UGOGNA33,UGOGNA3Y,UGOGNA76,UGOGNA88,UGOGNAB7,WGOGNA33"
12;"UMGJZF12I";"MG";1;"UMGJZF54"
6;"UPRCPH20I";"PRSC";1;"UPRCPH14"
9;"UCEPJS12E";"NE";1;"UCEPJS02"
11;"UGOACG27C";"CO";1;"UGOACG59"
9;"UGOGNA3TA";"CO";3;"UGOGNA0N,UGOGNA91,UGOGNAI9"
11;"UGOANS08O";"CO";10;"UGOANS02,UGOANS16,UGOANS30,UGOANS34,UGOANS35,UGOANS48,UGOANS60,UGOANS63,UGOANS71,UGOANSR1"
6;"UGONGM02I";"CO";3;"UGONGM04,UGONGM06,UGONGM08"
9;"UMTVAZ15M";"CO";6;"UMTCBA07,UMTCBA17,UMTCBA85,UMTCBAA8,UMTCBAB0,UMTVAZ24"
13;"UMGDCA15M";"MG";2;"UMGOUP05,UMGOUP10"
13;"UPEJBO13A";"NE";2;"UPEIPS17,UPEIPS29"
12;"UBACAR25C";"BASE";1;"UBACARR4"
13;"UCEAER04N";"NE";1;"UCECEN06"
6;"UMGCTG222";"MG";2;"UMGCTG21,UMGCTG25"
11;"UGOGNA64G";"CO";15;"UGOGNA0G,UGOGNA0I,UGOGNA0P,UGOGNA13,UGOGNA14,UGOGNA1Y,UGOGNA36,UGOGNA3J,UGOGNA44,UGOGNA73,UGOGNA74,UGOGNAA2,UGOGNAC4,UGOGNAC7,UGOGNAI8"
9;"UPRCLG02C";"PRSC";1;"UPRCLG05"
9;"UPECAA11C";"NE";2;"UPECAA90,UPEPLH01"
7;"UMGBET131";"MG";7;"UMGBET18,UMGBET19,UMGBET44,UMGCTG16,UMGCTG18,UMGIBT05,UMGIBT06"
9;"UMGCTG36M";"MG";1;"UMGCTG29"
7;"WRNPTB10I";"NE";2;"URNPTB06,WRNPTB06"
9;"UMGIPG03I";"MG";1;"UMGIPG10"
14;"UPBCRI10B";"NE";1;"UPBCRI03"
10;"UCEAER04U";"NE";18;"UCEAER06,UCEAER13,UCEBAE07,UCEBAE09,UCEBAEI1,UCEPAR02,UCEPAR04,UCEPAR15,UCEPAR23,UCEPAR26,UCEPARI1,UCEPIC01,UCEPIC02,UCEPIC03,UCEPIC05,UCEPIC09,UCEPIC11,WCEPAR26"
10;"UBADSA08C";"BASE";1;"UBADSA09"
10;"UPESHD01C";"NE";1;"UPESHD02"
7;"UPRPGO21F";"PRSC";1;"UPRPGO16"
14;"UROVHA02K";"CO";1;"UROVHA01"
9;"UPRCPH23A";"PRSC";1;"UPRCPH19"
7;"UROPVO39G";"CO";1;"UROPVO40"
8;"UCEAER02A";"NE";1;"UCEAER10"
14;"UMGURAR12";"MG";1;"UMGURA02"
9;"UCEEDS02A";"NE";1;"UCEEDS06"
10;"UMTVAZ24J";"CO";2;"UMTCBAB0,UMTVAZ39"
12;"UBACAB28A";"BASE";1;"UBACAJ02"
14;"UGOLZA20E";"CO";1;"UGOCDO04"
11;"UMGPLA152";"MG";3;"UMGPLA07,UMGPLA09,UMGPLA11"
10;"UMGBDP041";"MG";1;"UMGBDP01"
8;"UPEPUI04K";"NE";1;"UPEPUI15"
12;"UMGBRT130";"MG";1;"UMGBRT15"
10;"UMTCBA43F";"CO";1;"UMTCBAB1"
9;"USCIAI03B";"PRSC";1;"USCIAI02"
14;"USCIAI07B";"PRSC";3;"USCIAI02,USCIAI03,USCIAI14"
8;"UDFTAG73M";"CO";6;"UDFTAG03,UDFTAG06,UDFTAG0D,UDFTAG24,UDFTAG42,UDFTAG69"
12;"UDFTAG76F";"CO";1;"UDFTAG55"
6;"UMGMCL082";"MG";2;"UMGMCL07,UMGMCL22"
11;"UPRTBG01E";"PRSC";1;"UPRTBG02"
14;"UGOGNA3EM";"CO";1;"UGOGNA0T"
9;"UGOGNA3AB";"CO";4;"UGOGNA0Z,UGOGNA16,UGOGNA17,UGOGNA1N"
14;"UDFTAG50E";"CO";20;"UDFTAG04,UDFTAG0B,UDFTAG15,UDFTAG17,UDFTAG27,UDFTAG45,UDFTAG47,UDFTAG48,UDFTAG57,UDFTAG67,UDFTAG70,UDFTAG71,UDFTAG72,UDFTAG88,UDFTAG95,UDFTAG96,UDFTAGA1,UDFTAGA6,UDFTAGA7,UDFTAGA9"
14;"UCESOL05O";"NE";1;"UCESOL20"
11;"UDFTAG36E";"CO";1;"UDFTAG87"
13;"UGORVD06I";"CO";2;"UGORVD17,UGORVD34"
13;"UPEBEZ02K";"NE";1;"UPEBEZ03"
7;"UALFAR47A";"NE";2;"UALFAR03,UALFAR12"
9;"UBACAJ04B";"BASE";1;"UBACAJ01"
10;"UMGGVD130";"MG";3;"UMGGVD08,UMGGVD09,UMGGVD11"
6;"UTOTAQ03J";"CO";2;"UTOTAQ01,UTOTAQ14"
6;"UMTCBA60C";"CO";13;"CMTCBAI4,KMTCBAI4,UMTCBA01,UMTCBA05,UMTCBA06,UMTCBA07,UMTCBA35,UMTCBA78,UMTCBA85,UMTCBAA9,UMTCBAI4,WMTCBA05,WMTCBAI4"
14;"UPBCGE06E";"NE";1;"UPBCGE12"
13;"UGOANS12M";"CO";3;"UGOANS07,UGOANS40,UGOANS58"
11;"UMTVAZ11F";"CO";1;"UMTVAZ12"
9;"UESSER122";"ES";2;"UESSER18,UESSER29"
7;"URNJOA02A";"NE";1;"URNJOA01"
12;"UESANC03M";"ES";1;"UESGUPR1"
13;"UMGSLZ032";"MG";1;"UMGSLZ08"
14;"UCEACA03E";"NE";2;"UCEACA01,UCEACA04"
13;"UCEBBBR1C";"NE";1;"UCEBBB01"
8;"UDFTAG42G";"CO";5;"UDFGMA30,UDFTAG28,UDFTAG38,UDFTAG50,WDFTAG28"
12;"UMSCPE66J";"CO";1;"UMSCPE05"
12;"UBALFS01A";"BASE";5;"UBALFS02,UBALFS11,UBALFS20,UBALFS24,UBALFS40"
13;"UDFTAGA1C";"CO";1;"UDFTAG70"
11;"UBATPT01C";"BASE";1;"UBATPT02"
