week,regional,rnc,cluster,cidade,cellname,count,covered_sites
34,CO,RNCAC01,AC-INTERIOR_SATELITE,CRUZEIRO DO SUL,31S01ACCZU0203,1,NS01ACCZU01
34,NE,RNCAL01,AL-LITORAL_SUL,CORURIPE,31S01ALCUI0102,1,UALCUI06
34,NE,RNCAL01,AL-PRAIA_DO_FRANCES,MARECHAL DEODORO,31S01ALMHD0151,1,NS01ALMHD06
34,NE,RNCAL01,AL-PRAIA_DO_FRANCES,MARECHAL DEODORO,31S01ALMHD0302,5,"NS01ALFAR08,UALFAR12,UALFAR18,UALFAR37,UALFAR47"
34,NE,RNCAL01,AL-AGRESTE,PALMEIRA DOS ÍNDIOS,31S01ALPIN0102,1,NS01ALPIN03
34,NE,RNCAL01,AL-LESTE,PENEDO,31S01ALPND0102,1,NS01ALPND04
34,NE,RNCAL01,AL-LESTE,PENEDO,31S01ALPND0103,1,NS01ALPND02
34,NE,RNCAL01,AL-MC_RIO_LARGO,RIO LARGO,31S01ALRGO0102,1,NS01ALRGO02
34,NE,RNCAL01,AL-MC_RIO_LARGO,RIO LARGO,31S01ALRGO0302,1,UALSTU01
34,NE,RNCAL01,AL-LESTE,TEOTÔNIO VILELA,31S01ALTNV0103,2,"NS01ALTNV02,NS01ALTNV03"
34,NE,RNCAL01,AL-LESTE,TEOTÔNIO VILELA,31S01ALTNV0153,2,"NS01ALTNV02,NS01ALTNV03"
34,BASE,RNCBA05,BA-SALVADOR-AMARALINA,SALVADOR,31S01BAAMA7103,1,UBAAMA06
34,BASE,RNCBA04,BA-JUAZEIRO,BARRO ALTO,31S01BABLT0251,1,UBAIIY03
34,BASE,RNCBA04,BA-JUAZEIRO,BARRO ALTO,31S01BABLT0301,1,NS01BACNR01
34,BASE,RNCBA04,BA-JUAZEIRO,BARRO ALTO,31S01BABLT0351,1,NS01BACNR01
34,BASE,RNCBA05,BA-SALVADOR-SANTO_ANTONIO_PENHA,SALVADOR,31S01BABON0501,10,"NS01BABON07,NS01BABON12,NS01BABON16,NS01BABON17,NS01BABON18,NS01BABON20,NS01BABON27,NS01BABON34,NS01BABON38,NS01BABON39"
34,BASE,RNCBA05,BA-SALVADOR-SANTO_ANTONIO_PENHA,SALVADOR,31S01BABON0502,5,"NS01BABON02,NS01BABON10,NS01BABON12,NS01BABON35,UBABON15"
34,BASE,RNCBA05,BA-SALVADOR-SANTO_ANTONIO_PENHA,SALVADOR,31S01BABON0551,10,"NS01BABON07,NS01BABON12,NS01BABON16,NS01BABON17,NS01BABON18,NS01BABON20,NS01BABON27,NS01BABON34,NS01BABON38,NS01BABON39"
34,BASE,RNCBA05,BA-SALVADOR-SANTO_ANTONIO_PENHA,SALVADOR,31S01BABON0552,5,"NS01BABON02,NS01BABON10,NS01BABON12,NS01BABON35,UBABON15"
34,BASE,RNCBA05,BA-SAO_CAETANO,SALVADOR,31S01BABON1301,2,"NS01BABON42,UBABON28"
34,BASE,RNCBA05,BA-SAO_CAETANO,SALVADOR,31S01BABON1303,3,"NS01BABON07,NS01BABON17,NS01BABON18"
34,BASE,RNCBA05,BA-SAO_CAETANO,SALVADOR,31S01BABON1353,3,"NS01BABON07,NS01BABON17,NS01BABON18"
34,BASE,RNCBA05,BA-SAO_CAETANO,SALVADOR,31S01BABON1601,3,"NS01BABON34,UBABON28,UBABON30"
34,BASE,RNCBA05,BA-SAO_CAETANO,SALVADOR,31S01BABON1651,3,"NS01BABON34,UBABON28,UBABON30"
